City,State,lat,lon
Paterson,New Jersey,40.9147,-74.1624
Corona,California,33.8616,-117.5649
Merced,California,37.3057,-120.4779
Warner Robins,Georgia,32.5961,-83.6527
Port Arthur,Texas,29.8554,-93.9264
Macon,Georgia,32.8065,-83.6974
Kansas City,Kansas,39.1235,-94.7443
Lakewood,Colorado,39.6977,-105.1172
Sunnyvale,California,37.3836,-122.0255
Fredericksburg,Virginia,38.2992,-77.4872
Leesburg,Florida,28.7672,-81.8962
Champaign,Illinois,40.1142,-88.2737
Hollywood,Florida,26.0293,-80.1679
Pasadena,Texas,29.6575,-95.1498
Pomona,California,34.0585,-117.7626
Escondido,California,33.1348,-117.0723
Joliet,Illinois,41.5188,-88.1499
Lake Charles,Louisiana,30.201,-93.2111
Mesquite,Texas,32.7602,-96.5865
Mauldin,South Carolina,34.7821,-82.3032
Panama City,Florida,30.1995,-85.6003
Bellevue,Washington,47.5951,-122.1535
Naperville,Illinois,41.748,-88.1659
Harlingen,Texas,26.1916,-97.6977
Tuscaloosa,Alabama,33.2348,-87.5268
Elkhart,Indiana,41.6916,-85.9627
Torrance,California,33.8346,-118.3416
Binghamton,New York,42.1014,-75.9093
Houma,Louisiana,29.58,-90.7059
Topeka,Kansas,39.0346,-95.6955
Roseville,California,38.7703,-121.3196
Fairfield,California,38.2583,-122.0335
Tyler,Texas,32.3184,-95.3062
Fullerton,California,33.8841,-117.9279
Pueblo,Colorado,38.2701,-104.6114
Athens,Georgia,33.9508,-83.3689
Santa Maria,California,34.9333,-120.4431
Surprise,Arizona,33.6815,-112.4515
Charleston,West Virginia,38.3484,-81.6322
Las Cruces,New Mexico,32.3265,-106.7893
Metairie,Louisiana,29.9977,-90.178
Thornton,Colorado,39.9197,-104.9438
Olathe,Kansas,38.8833,-94.82
Carolina,Puerto Rico,18.4054,-65.9792
Gainesville,Georgia,34.2902,-83.8294
West Valley City,Utah,40.6886,-112.0123
Orange,California,33.8038,-117.8218
Warren,Michigan,42.4934,-83.027
Pasadena,California,34.1597,-118.139
Beaumont,Texas,30.0849,-94.1451
Burlington,North Carolina,36.076,-79.4685
Hampton,Virginia,37.0551,-76.363
Columbia,Missouri,38.9472,-92.3268
Yuma,Arizona,32.5995,-114.5491
Elizabeth,New Jersey,40.6658,-74.1913
Racine,Wisconsin,42.7274,-87.8135
Greeley,Colorado,40.4152,-104.7706
Kent,Washington,47.3887,-122.2128
Stamford,Connecticut,41.1039,-73.5585
Odessa,Texas,31.8801,-102.3448
Bloomington,Illinois,40.4757,-88.9703
Miramar,Florida,25.9773,-80.3351
Grand Junction,Colorado,39.0877,-108.5673
Sterling Heights,Michigan,42.5809,-83.0305
Coral Springs,Florida,26.2702,-80.2591
Johnson City,Tennessee,36.3406,-82.3806
Carrollton,Texas,32.989,-96.8999
Midland,Texas,32.0243,-102.1147
Yakima,Washington,46.5923,-120.5496
Bellingham,Washington,48.7548,-122.469
Yuba City,California,39.1357,-121.6383
South Lyon,Michigan,42.4614,-83.6526
Santa Clara,California,37.3646,-121.968
St. George,Utah,37.0758,-113.5752
Fort Smith,Arkansas,35.3495,-94.3695
Simi Valley,California,34.2663,-118.749
Dover,Delaware,39.161,-75.5202
Norman,Oklahoma,35.2335,-97.3471
Abilene,Texas,32.4543,-99.7384
Billings,Montana,45.7891,-108.5526
Ponce,Puerto Rico,18.0127,-66.6212
Lehigh Acres,Florida,26.612,-81.6388
St. Cloud,Minnesota,45.534,-94.1718
Arecibo,Puerto Rico,18.4491,-66.7387
Kenosha,Wisconsin,42.5865,-87.8773
Greenville,North Carolina,35.5943,-77.376
Arvada,Colorado,39.832,-105.151
Pearland,Texas,29.5581,-95.3218
Independence,Missouri,39.0871,-94.3501
Texas City,Texas,29.4154,-94.9682
Redding,California,40.5698,-122.365
Lynchburg,Virginia,37.4003,-79.1909
Boulder,Colorado,40.0248,-105.2524
Iowa City,Iowa,41.6559,-91.5303
Rochester,Minnesota,44.0154,-92.478
Berkeley,California,37.8722,-122.276
Waldorf,Maryland,38.6085,-76.9194
The Villages,Florida,28.9034,-81.9887
Duluth,Minnesota,46.7756,-92.1393
East Los Angeles,California,34.0326,-118.1691
Saginaw,Michigan,43.4199,-83.9501
Clovis,California,36.8278,-119.683
Leominster,Massachusetts,42.5209,-71.7717
Round Rock,Texas,30.527,-97.6642
Monroe,Louisiana,32.5185,-92.0774
Cambridge,Massachusetts,42.3759,-71.1185
Clearwater,Florida,27.979,-82.7623
Seaside,California,36.6224,-121.8199
West Jordan,Utah,40.6024,-112.0008
Richardson,Texas,32.9716,-96.7093
West Palm Beach,Florida,26.7469,-80.132
Temple,Texas,31.1068,-97.3891
Burlington,Vermont,44.4876,-73.2316
Richmond,California,37.9477,-122.3389
Westminster,Colorado,39.8837,-105.0624
Pottstown,Pennsylvania,40.2508,-75.6445
Brandon,Florida,27.9367,-82.3
Rock Hill,South Carolina,34.9415,-81.0241
Meridian,Idaho,43.6116,-116.3977
Coeur d'Alene,Idaho,47.704,-116.7936
Carlsbad,California,33.1246,-117.2834
Lowell,Massachusetts,42.6389,-71.3217
Waterloo,Iowa,42.4918,-92.3522
North Charleston,South Carolina,32.9067,-80.0722
Gilroy,California,37.0046,-121.5854
Downey,California,33.9379,-118.1311
Gresham,Oregon,45.5021,-122.4413
Elgin,Illinois,42.0383,-88.324
Utica,New York,43.0962,-75.2261
Broken Arrow,Oklahoma,36.038,-95.7806
Costa Mesa,California,33.6667,-117.9135
Chico,California,39.7578,-121.8161
Sioux City,Iowa,42.4959,-96.3901
League City,Texas,29.4874,-95.1087
Miami Gardens,Florida,25.9433,-80.2426
Pompano Beach,Florida,26.2428,-80.1312
San Buenaventura,California,34.2741,-119.2314
Everett,Washington,47.9525,-122.1669
El Centro,California,32.7865,-115.5595
Sugar Land,Texas,29.5935,-95.6358
El Monte,California,34.0739,-118.0291
Lewisville,Texas,33.0454,-96.9815
West Covina,California,34.0555,-117.9113
Temecula,California,33.4928,-117.1315
Bend,Oregon,44.0563,-121.3095
Salisbury,Maryland,38.3756,-75.5865
Jacksonville,North Carolina,34.7289,-77.3941
Inglewood,California,33.9566,-118.3444
Dearborn,Michigan,42.3127,-83.213
Centennial,Colorado,39.5926,-104.8673
Burbank,California,34.1879,-118.3235
Sparks,Nevada,39.5736,-119.7161
Sandy Springs,Georgia,33.9366,-84.3703
Bloomington,Indiana,39.1637,-86.5257
Logan,Utah,41.7399,-111.8422
Kailua,Hawaii,21.392,-157.7396
El Cajon,California,32.8017,-116.9604
Hillsboro,Oregon,45.5273,-122.936
South Fulton,Georgia,33.6273,-84.58
Renton,Washington,47.4784,-122.1918
Mandeville,Louisiana,30.3751,-90.0904
San Mateo,California,37.5522,-122.3121
Columbia,Maryland,39.2004,-76.859
Daly City,California,37.6862,-122.4685
Davie,Florida,26.0789,-80.287
Jurupa Valley,California,34.001,-117.4706
Brockton,Massachusetts,42.0821,-71.0242
Longmont,Colorado,40.1686,-105.1005
Rialto,California,34.1175,-117.3892
San Germán,Puerto Rico,18.0827,-67.046
Eau Claire,Wisconsin,44.8197,-91.4948
Turlock,California,37.5053,-120.8588
Norwalk,California,33.9069,-118.0829
Highlands Ranch,Colorado,39.5419,-104.9708
Allen,Texas,33.1088,-96.6735
Wichita Falls,Texas,33.9072,-98.5291
Rio Rancho,New Mexico,35.2873,-106.6982
Vacaville,California,38.3587,-121.9673
Spokane Valley,Washington,47.6626,-117.2346
Charlottesville,Virginia,38.0375,-78.4855
Idaho Falls,Idaho,43.4871,-112.0362
Menifee,California,33.6909,-117.1849
Lee's Summit,Missouri,38.9171,-94.3816
Quincy,Massachusetts,42.2506,-71.0187
San Angelo,Texas,31.4424,-100.4504
Lynn,Massachusetts,42.4781,-70.9664
Holland,Michigan,42.7677,-86.0984
Federal Way,Washington,47.3091,-122.3358
Manteca,California,37.7927,-121.2264
Lafayette,Colorado,39.9946,-105.0998
Santa Fe,New Mexico,35.6619,-105.9819
Hesperia,California,34.3975,-117.3147
La Crosse,Wisconsin,43.8241,-91.2268
Riverview,Florida,27.8227,-82.3023
Kingsport,Tennessee,36.5224,-82.5454
Edinburg,Texas,26.3196,-98.1597
Vista,California,33.1896,-117.2386
Bowling Green,Kentucky,36.9716,-86.4378
Carmel,Indiana,39.965,-86.146
Longview,Texas,32.5193,-94.7622
Tracy,California,37.7269,-121.4523
Prescott Valley,Arizona,34.598,-112.3185
Beaverton,Oregon,45.4779,-122.8168
Portsmouth,New Hampshire,43.058,-70.7826
Portsmouth,Virginia,36.8468,-76.354
Fishers,Indiana,39.9588,-85.9659
Orem,Utah,40.2981,-111.6994
Sandy,Utah,40.5709,-111.8506
Sunrise,Florida,26.1547,-80.2997
San Tan Valley,Arizona,33.1786,-111.5629
Compton,California,33.893,-118.2274
Arden-Arcade,California,38.6017,-121.3845
Hanford,California,36.3274,-119.6549
Boca Raton,Florida,26.3752,-80.108
Middletown,Ohio,39.5033,-84.3659
Livonia,Michigan,42.3972,-83.3733
Carson,California,33.8374,-118.2559
Lawrence,Kansas,38.9597,-95.2642
Slidell,Louisiana,30.2887,-89.7828
Blacksburg,Virginia,37.23,-80.4279
San Marcos,California,33.135,-117.1743
Goodyear,Arizona,33.2614,-112.3622
Edmond,Oklahoma,35.6689,-97.416
Mayagüez,Puerto Rico,18.2003,-67.1397
Fall River,Massachusetts,41.7136,-71.1015
South Gate,California,33.9447,-118.1926
Suffolk,Virginia,36.6953,-76.6398
Terre Haute,Indiana,39.466,-87.3751
Missoula,Montana,46.8751,-114.0214
Santa Monica,California,34.0235,-118.481
Roswell,Georgia,34.0391,-84.3513
Vineland,New Jersey,39.4653,-74.9981
Plantation,Florida,26.1259,-80.2617
Alafaya,Florida,28.528,-81.1868
Kirkland,Washington,47.697,-122.2057
Hoover,Alabama,33.3763,-86.8068
Westminster,California,33.7523,-117.9938
Lawton,Oklahoma,34.6175,-98.4202
San Leandro,California,37.7074,-122.1599
Auburn,Alabama,32.6087,-85.4903
Norwalk,Connecticut,41.1144,-73.4215
O'Fallon,Missouri,38.785,-90.7175
Chino,California,33.9836,-117.6654
Germantown,Maryland,39.1755,-77.2643
Dover,New Hampshire,43.1887,-70.8845
Bismarck,North Dakota,46.8143,-100.7694
Waukegan,Illinois,42.3698,-87.8716
Buckeye,Arizona,33.4314,-112.6429
Town 'n' Country,Florida,28.0106,-82.5763
Clifton,New Jersey,40.863,-74.1575
Bloomington,Minnesota,44.8306,-93.3151
Mount Pleasant,South Carolina,32.8537,-79.8203
Florence,South Carolina,34.178,-79.7898
Newton,Massachusetts,42.3316,-71.2085
State College,Pennsylvania,40.7909,-77.8567
Livermore,California,37.6868,-121.7607
Rapid City,South Dakota,44.0716,-103.2204
Decatur,Illinois,39.8557,-88.9342
Dalton,Georgia,34.769,-84.972
Conroe,Texas,30.3238,-95.4824
Hawthorne,California,33.9147,-118.3476
Lawrence,Massachusetts,42.7002,-71.1626
New Braunfels,Texas,29.6994,-98.1148
Citrus Heights,California,38.6948,-121.288
Jackson,Michigan,42.2431,-84.4038
Whittier,California,33.9678,-118.0188
Muncie,Indiana,40.1989,-85.395
Troy,Michigan,42.5817,-83.1457
Homosassa Springs,Florida,28.8119,-82.5392
Port Huron,Michigan,42.9821,-82.4388
Napa,California,38.2975,-122.301
Deerfield Beach,Florida,26.305,-80.1277
Springdale,Arkansas,36.1901,-94.1574
Newport Beach,California,33.6151,-117.8668
Anderson,Indiana,40.0891,-85.6892
San Ramon,California,37.7624,-121.9365
Lake Forest,California,33.6605,-117.6714
Mission,Texas,26.2039,-98.3256
Auburn,Washington,47.3039,-122.2108
Brooklyn Park,Minnesota,45.1112,-93.3505
Bryan,Texas,30.665,-96.3807
Springfield,Ohio,39.93,-83.7959
Hattiesburg,Mississippi,31.3074,-89.317
Westland,Michigan,42.3192,-83.3805
Cicero,Illinois,41.8445,-87.7593
Albany,Georgia,31.5776,-84.1762
Fort Myers,Florida,26.6194,-81.8302
Pine Hills,Florida,28.5818,-81.4692
Atascocita,Texas,29.9777,-95.1953
Buena Park,California,33.8572,-118.0046
Redwood City,California,37.5025,-122.2253
Farmington Hills,Michigan,42.486,-83.3771
Alton,Illinois,38.9037,-90.152
Melbourne,Florida,28.1086,-80.6627
Miami Beach,Florida,25.8171,-80.1396
Alhambra,California,34.084,-118.1355
Williamsburg,Virginia,37.2693,-76.7076
Madera,California,36.963,-120.0778
Warwick,Rhode Island,41.7062,-71.4334
Cranston,Rhode Island,41.7658,-71.4858
Baytown,Texas,29.7587,-94.9671
Largo,Florida,27.9088,-82.7712
Silver Spring,Maryland,39.0028,-77.0207
Lakewood,California,33.8471,-118.1222
Mountain View,California,37.4001,-122.0796
Kankakee,Illinois,41.102,-87.8643
Johns Creek,Georgia,34.0333,-84.2027
Flagstaff,Arizona,35.1872,-111.6194
Franklin,Tennessee,35.92,-86.8516
Joplin,Missouri,37.0757,-94.5018
Parma,Ohio,41.3843,-81.7286
Layton,Utah,41.077,-111.962
New Rochelle,New York,40.9304,-73.7836
Anderson,South Carolina,34.5211,-82.6478
Lebanon,Pennsylvania,40.3412,-76.4228
Somerville,Massachusetts,42.3908,-71.1014
Yauco,Puerto Rico,18.0344,-66.8615
St. Joseph,Missouri,39.7598,-94.821
Plymouth,Minnesota,45.0225,-93.4617
Tustin,California,33.7311,-117.8107
Zephyrhills,Florida,28.2409,-82.1797
Milpitas,California,37.4336,-121.8921
Florence,Alabama,34.8303,-87.6655
Pleasanton,California,37.6663,-121.8805
Boynton Beach,Florida,26.5281,-80.0811
Texarkana,Texas,33.45,-94.0847
Folsom,California,38.6668,-121.1422
Bellflower,California,33.888,-118.1271
Pharr,Texas,26.1685,-98.1904
Homestead,Florida,25.4665,-80.4472
Valdosta,Georgia,30.8502,-83.2788
Upland,California,34.1178,-117.6604
Evanston,Illinois,42.0464,-87.6943
Newark,Ohio,40.0706,-82.425
Elizabethtown,Kentucky,37.7031,-85.8773
St. Augustine,Florida,29.8976,-81.31
Rancho Cordova,California,38.5737,-121.2527
Alameda,California,37.7668,-122.267
Chino Hills,California,33.9508,-117.7254
Perris,California,33.7898,-117.2233
Schaumburg,Illinois,42.0308,-88.0838
Kendall,Florida,25.6697,-80.3556
Camarillo,California,34.223,-119.0321
Anniston,Alabama,33.6712,-85.8135
Sumter,South Carolina,33.9392,-80.393
Jonesboro,Arkansas,35.8212,-90.6791
Hammond,Indiana,41.6168,-87.4909
Carmichael,California,38.6318,-121.3263
Arlington Heights,Illinois,42.0955,-87.9826
Morgantown,West Virginia,39.6383,-79.9464
Wyoming,Michigan,42.8908,-85.7066
Cheyenne,Wyoming,41.135,-104.7902
Pasco,Washington,46.2506,-119.1305
Watsonville,California,36.9206,-121.7708
Southfield,Michigan,42.4765,-83.2605
Wausau,Wisconsin,44.962,-89.6459
Rochester Hills,Michigan,42.6645,-83.1563
Loveland,Colorado,40.4166,-105.0623
Alexandria,Louisiana,31.2923,-92.4702
Pittsburg,California,38.0182,-121.8965
Hammond,Louisiana,30.5061,-90.4563
South Jordan,Utah,40.557,-111.9784
Battle Creek,Michigan,42.2985,-85.2296
Bethlehem,Pennsylvania,40.6266,-75.3679
Fajardo,Puerto Rico,18.3331,-65.6589
Davis,California,38.5553,-121.737
Apple Valley,California,34.5352,-117.2109
Pawtucket,Rhode Island,41.8744,-71.3743
Wheeling,West Virginia,40.0752,-80.6951
Flower Mound,Texas,33.0343,-97.1146
Harrisonburg,Virginia,38.4362,-78.8735
Cedar Park,Texas,30.5105,-97.8197
Oshkosh,Wisconsin,44.0227,-88.5619
Winchester,Virginia,39.1735,-78.1746
Caguas,Puerto Rico,18.2319,-66.0388
Ellicott City,Maryland,39.2774,-76.8345
Pocatello,Idaho,42.8724,-112.4647
Hilton Head Island,South Carolina,32.1896,-80.7499
New Britain,Connecticut,41.6759,-72.7862
